theta phi rcs_theta rcs_phi
0 0 35.1488 -152.591
1 0 29.8384 -157.849
2 0 18.271 -176.048
3 0 15.3335 -156.2
4 0 17.2884 -152.564
5 0 13.315 -151.393
6 0 19.5674 -166.501
7 0 23.1775 -165.751
8 0 23.9939 -151.374
9 0 26.1332 -164.567
10 0 24.8887 -161.009
11 0 26.6142 -157.029
12 0 27.0217 -160.554
13 0 28.4911 -160.625
14 0 28.6237 -150.053
15 0 28.95 -161.525
16 0 30.3482 -161.351
17 0 30.2008 -149.37
18 0 30.8433 -156.49
19 0 31.326 -151.824
20 0 31.8542 -156.483
21 0 32.2189 -175.423
22 0 32.5476 -168.649
23 0 33.1036 -153.129
24 0 33.3207 -148.659
25 0 33.7846 -155.484
26 0 33.8313 -144.992
27 0 34.3726 -155.006
28 0 34.6905 -148.683
29 0 34.8236 -142.794
30 0 35.3027 -172.196
31 0 35.3112 -171.749
32 0 35.7255 -153.618
33 0 35.9989 -144.743
34 0 36.2911 -166.095
35 0 36.3383 -156.529
36 0 36.5059 -143.996
37 0 36.7 -150.775
38 0 37.05 -161.157
39 0 37.1689 -151.515
40 0 37.4472 -152.912
41 0 37.4774 -163.982
42 0 37.6785 -149.652
43 0 37.8658 -148.34
44 0 38.0635 -148.157
45 0 38.2704 -153.534
46 0 38.066 -152.875
47 0 37.8263 -162.253
48 0 37.7326 -153.488
49 0 37.5286 -162.792
50 0 37.3925 -162.441
51 0 37.2134 -154.497
52 0 36.9188 -155.325
53 0 36.7761 -153.523
54 0 36.5328 -145.932
55 0 36.5072 -159.627
56 0 36.2025 -151.785
57 0 36.0802 -141.081
58 0 35.567 -142.52
59 0 35.4993 -150.188
60 0 35.279 -158.23
61 0 34.9319 -149.347
62 0 34.5196 -150.4
63 0 34.5539 -155.051
64 0 33.9114 -141.497
65 0 33.7122 -147.632
66 0 33.4526 -168.281
67 0 33.1462 -151.086
68 0 32.517 -164.35
69 0 32.4844 -164.411
70 0 31.809 -164.442
71 0 31.4473 -164.355
72 0 31.0996 -158.604
73 0 30.2541 -166.957
74 0 30.4686 -174.343
75 0 29.0097 -173.58
76 0 28.9577 -175.933
77 0 28.5206 -162.389
78 0 26.8551 -158.094
79 0 26.6425 -161.91
80 0 24.8214 -180.464
81 0 26.0028 -199.163
82 0 24.2282 -161.702
83 0 23.6683 -184.039
84 0 19.6139 -177.13
85 0 14.3605 -184.604
86 0 16.9731 -193.06
87 0 15.223 -186.528
88 0 17.7594 -182.946
89 0 29.9018 -200.429
90 0 35.2544 -299.756
