theta phi rcs_theta rcs_phi
0 0 14.1238 -173.563
1 0 10.5286 -177.369
2 0 6.75339 -174.31
3 0 5.85325 -180.538
4 0 5.88647 -172.962
5 0 6.28003 -176.516
6 0 6.61222 -171.164
7 0 5.81554 -178.913
8 0 4.34889 -182.884
9 0 1.36265 -169.95
10 0 -0.185071 -182.428
11 0 4.08776 -165.508
12 0 5.51886 -170.82
13 0 3.94391 -172.292
14 0 4.68967 -165.913
15 0 6.30086 -178.245
16 0 7.07596 -162.256
17 0 7.28863 -171.318
18 0 6.67858 -176.301
19 0 5.45215 -167.77
20 0 3.62334 -162.058
21 0 2.11634 -167.364
22 0 3.28808 -160.744
23 0 4.72341 -164.621
24 0 3.41485 -165.686
25 0 4.03647 -169.091
26 0 5.77247 -163.609
27 0 6.90824 -173.601
28 0 7.14032 -165.345
29 0 7.02414 -162.619
30 0 5.83101 -188.778
31 0 4.56394 -161.144
32 0 3.76736 -168
33 0 4.17714 -164.265
34 0 4.95098 -165.086
35 0 2.45985 -168.555
36 0 2.07083 -177.004
37 0 4.74791 -164.667
38 0 6.80101 -163.902
39 0 7.03111 -164.201
40 0 7.43002 -164.61
41 0 6.82397 -174.494
42 0 5.4161 -168.836
43 0 3.75499 -161.919
44 0 3.77894 -163.462
45 0 5.92985 -190.95
46 0 5.70225 -161.615
47 0 3.9974 -160.241
48 0 5.45462 -166.414
49 0 7.33055 -164.186
50 0 8.29612 -157.299
51 0 8.71379 -161.388
52 0 8.41144 -161.398
53 0 6.94211 -163.372
54 0 4.66054 -160.571
55 0 4.17408 -157.851
56 0 5.31937 -169.401
57 0 5.0782 -160.45
58 0 2.44296 -172.068
59 0 2.36693 -178.658
60 0 4.86158 -165.855
61 0 6.7712 -167.531
62 0 6.91718 -175.647
63 0 6.64552 -170.866
64 0 5.2074 -171.967
65 0 2.86396 -169.721
66 0 1.82892 -164.275
67 0 3.37691 -169.318
68 0 3.82185 -167.583
69 0 1.97984 -177.55
70 0 2.49218 -171.257
71 0 4.76525 -164.084
72 0 6.16598 -168.383
73 0 6.15382 -166.709
74 0 6.02101 -170.264
75 0 5.04558 -169.25
76 0 2.7564 -166.7
77 0 1.426 -172.383
78 0 2.70451 -170.726
79 0 3.89344 -172.505
80 0 2.66491 -174.792
81 0 2.97238 -180.403
82 0 4.86578 -172.82
83 0 6.55048 -179.507
84 0 7.17871 -177.678
85 0 6.95303 -189.776
86 0 6.07093 -201.337
87 0 4.11796 -180.675
88 0 2.3284 -201.044
89 0 3.3878 -185.696
90 0 4.90031 -219.117
